                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4431,                 2.1437,                 3.1158,                0.54947,                0.29594,                0.50834,                0.30986,                 1.4025,                 2.2147,                  3.692,              0.0033069,              0.0033069,              0.0033069
                      2,                 1.1427,                 1.1414,                 2.8339,                0.54519,                0.87374,                0.64025,                0.42019,                 1.1364,                 1.4282,                 3.8773,              0.0066271,              0.0066271,              0.0066271
                      3,                 1.1243,                 1.0736,                 2.7928,                0.57031,                0.85943,                 0.6951,                0.46361,                 1.2246,                  1.223,                 3.6265,               0.009934,               0.009934,               0.009934
                      4,                  1.062,                0.98872,                 2.7443,                0.79121,                0.62736,                0.74827,                0.46299,                 1.2748,                 1.6806,                   3.65,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0079,                0.89266,                 2.6862,                0.79097,                0.90496,                0.89551,                0.57706,                 1.2338,                0.86285,                 3.5631,              0.0099208,              0.0099208,              0.0099208
                      6,                  0.975,                0.80835,                 2.6593,                0.73839,                0.92423,                0.91359,                0.63361,                 1.1131,                 0.9233,                 3.6205,               0.009901,               0.009901,               0.009901
                      7,                0.92496,                 0.7633,                 2.5969,                0.71863,                0.90095,                0.86557,                0.59968,                 1.1146,                0.86726,                 3.6059,              0.0098812,              0.0098812,              0.0098812
                      8,                0.90504,                0.72956,                 2.5843,                0.84155,                0.88383,                0.88011,                0.60223,                 1.0842,                0.74329,                 3.5839,              0.0098614,              0.0098614,              0.0098614
                      9,                0.90152,                0.69499,                 2.5883,                0.88107,                0.88215,                0.90173,                0.63972,                 1.0552,                0.70236,                 3.5473,              0.0098416,              0.0098416,              0.0098416
                     10,                0.88057,                0.69498,                  2.569,                0.85149,                0.90301,                0.93045,                0.70856,                0.86784,                0.67885,                 3.5776,              0.0098218,              0.0098218,              0.0098218
                     11,                0.84565,                0.67569,                 2.5521,                 0.8104,                0.93266,                0.89573,                 0.6534,                  1.006,                 0.6827,                 3.5108,               0.009802,               0.009802,               0.009802
                     12,                0.84942,                0.66302,                 2.5692,                0.75075,                0.93031,                0.96149,                0.68633,                0.96317,                0.75048,                 3.5038,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.8448,                0.63399,                 2.5253,                0.88694,                0.94367,                0.95785,                0.71273,                0.91753,                 0.5946,                 3.5652,              0.0097624,              0.0097624,              0.0097624
                     14,                0.81112,                0.61509,                 2.4926,                 0.8655,                0.96311,                0.96214,                 0.6883,                  0.953,                0.61272,                 3.4835,              0.0097426,              0.0097426,              0.0097426
                     15,                0.82653,                0.62719,                 2.5268,                 0.8877,                0.91862,                0.95958,                0.70886,                0.90737,                0.57075,                 3.4855,              0.0097228,              0.0097228,              0.0097228
                     16,                 0.7935,                 0.6153,                 2.4594,                 0.8958,                0.94094,                0.96119,                0.68017,                 1.0132,                0.62727,                 3.5128,               0.009703,               0.009703,               0.009703
                     17,                0.79869,                0.58999,                 2.5143,                0.90559,                0.92319,                 0.9634,                0.72235,                0.90793,                   0.61,                 3.5335,              0.0096832,              0.0096832,              0.0096832
                     18,                0.79154,                 0.5873,                 2.4901,                0.94741,                0.94306,                0.97776,                 0.7799,                0.78251,                0.47882,                 3.5184,              0.0096634,              0.0096634,              0.0096634
                     19,                0.79704,                0.59914,                 2.4943,                0.86825,                0.96023,                0.95941,                0.76693,                0.78089,                0.55393,                 3.4841,              0.0096436,              0.0096436,              0.0096436
                     20,                0.77582,                0.57733,                 2.4687,                0.95223,                0.93883,                0.97763,                0.76282,                   0.84,                0.50886,                 3.4432,              0.0096238,              0.0096238,              0.0096238
                     21,                0.75529,                0.57429,                 2.4502,                0.87567,                0.93515,                0.95745,                0.72972,                0.87313,                0.54235,                 3.4969,               0.009604,               0.009604,               0.009604
                     22,                0.76845,                0.56354,                  2.472,                0.92943,                0.93214,                0.98135,                0.74656,                0.88349,                0.52617,                 3.5113,              0.0095842,              0.0095842,              0.0095842
                     23,                0.74992,                0.54893,                 2.4443,                0.91193,                0.93593,                0.96884,                0.74045,                 0.9045,                0.55153,                 3.4926,              0.0095644,              0.0095644,              0.0095644
                     24,                0.74095,                0.54427,                 2.4758,                 0.9224,                0.91645,                0.95252,                 0.7084,                0.96975,                0.57401,                 3.4596,              0.0095446,              0.0095446,              0.0095446
                     25,                0.74707,                0.55193,                 2.4527,                0.89165,                0.95107,                0.96475,                0.74099,                0.85133,                0.50928,                 3.5568,              0.0095248,              0.0095248,              0.0095248
                     26,                0.72884,                0.53243,                 2.4272,                0.93063,                0.94325,                0.97889,                0.78723,                0.80653,                0.47635,                 3.4492,               0.009505,               0.009505,               0.009505
                     27,                0.72001,                0.52893,                 2.4424,                 0.9411,                0.90257,                0.95465,                0.75209,                0.80419,                0.51578,                 3.4156,              0.0094852,              0.0094852,              0.0094852
                     28,                0.71101,                0.51652,                 2.4038,                 0.9391,                 0.9402,                0.96528,                0.75909,                0.81989,                0.48939,                 3.4154,              0.0094654,              0.0094654,              0.0094654
                     29,                0.72304,                0.52987,                  2.423,                0.93626,                0.95735,                 0.9691,                0.77633,                 0.7732,                0.46962,                  3.438,              0.0094456,              0.0094456,              0.0094456
                     30,                0.70383,                0.51543,                 2.4058,                0.92939,                0.96561,                0.96694,                0.76873,                0.82639,                0.45829,                 3.4249,              0.0094258,              0.0094258,              0.0094258
                     31,                0.70778,                0.52134,                 2.4059,                0.92767,                0.96026,                0.98162,                0.77485,                0.75565,                0.44798,                 3.4008,               0.009406,               0.009406,               0.009406
                     32,                0.68727,                0.49616,                 2.3881,                0.93835,                0.92794,                0.96887,                0.75542,                0.86709,                0.48991,                  3.467,              0.0093862,              0.0093862,              0.0093862
                     33,                 0.6829,                0.49213,                  2.358,                0.91726,                  0.946,                0.97662,                0.76809,                0.77824,                   0.48,                 3.4949,              0.0093664,              0.0093664,              0.0093664
                     34,                0.68193,                 0.4903,                 2.3805,                0.92367,                0.96147,                0.97728,                0.79493,                0.77129,                0.45969,                 3.3955,              0.0093466,              0.0093466,              0.0093466
                     35,                0.68315,                0.49843,                 2.3667,                0.95415,                0.92538,                0.96069,                0.76753,                0.81175,                 0.5062,                  3.474,              0.0093268,              0.0093268,              0.0093268
                     36,                0.68057,                0.48771,                 2.3643,                0.93123,                0.94585,                0.96692,                0.78112,                0.76113,                0.49098,                 3.3886,               0.009307,               0.009307,               0.009307
                     37,                0.66534,                 0.4824,                 2.3486,                0.96267,                0.96411,                0.97698,                0.80459,                0.70572,                0.40941,                 3.4784,              0.0092872,              0.0092872,              0.0092872
                     38,                0.67137,                0.47791,                 2.3303,                0.94097,                0.94057,                0.98146,                0.77833,                0.82154,                0.45304,                 3.4457,              0.0092674,              0.0092674,              0.0092674
                     39,                0.66073,                0.46106,                 2.3718,                0.94326,                0.97216,                0.97281,                0.79392,                0.75943,                 0.4333,                 3.4307,              0.0092476,              0.0092476,              0.0092476
                     40,                0.67248,                0.49094,                 2.3352,                  0.928,                 0.9725,                0.97057,                0.79299,                0.72578,                0.45346,                 3.3637,              0.0092278,              0.0092278,              0.0092278
                     41,                0.65425,                0.46925,                 2.3275,                0.92047,                0.93013,                0.97035,                0.80784,                0.68767,                 0.4415,                 3.4115,               0.009208,               0.009208,               0.009208
                     42,                0.66047,                0.46877,                 2.3683,                0.87951,                0.92268,                0.93753,                0.75088,                0.78548,                0.60365,                 3.5344,              0.0091882,              0.0091882,              0.0091882
                     43,                0.65879,                0.47032,                 2.3404,                0.96529,                0.94669,                0.96276,                 0.7727,                0.79129,                0.45526,                 3.3814,              0.0091684,              0.0091684,              0.0091684
                     44,                0.64823,                0.46517,                  2.329,                0.92087,                0.96189,                0.97447,                 0.8012,                0.70907,                0.43804,                 3.3547,              0.0091486,              0.0091486,              0.0091486
                     45,                0.65132,                0.46636,                 2.3183,                0.95371,                0.94068,                 0.9799,                0.79981,                0.75229,                0.42956,                 3.3535,              0.0091288,              0.0091288,              0.0091288
                     46,                0.66198,                0.47113,                 2.3546,                0.92187,                0.96593,                0.97278,                0.80242,                0.71354,                0.42566,                 3.3878,               0.009109,               0.009109,               0.009109
                     47,                0.66436,                0.48744,                 2.3574,                  0.901,                0.94725,                0.96056,                0.78311,                0.73039,                0.48355,                 3.3776,              0.0090892,              0.0090892,              0.0090892
                     48,                0.64891,                0.45598,                 2.3325,                0.94624,                0.92782,                0.96722,                0.79789,                0.71937,                0.46273,                 3.3771,              0.0090694,              0.0090694,              0.0090694
                     49,                0.63401,                0.45142,                 2.3529,                0.94279,                0.92854,                0.96169,                0.77334,                 0.7828,                0.46619,                  3.477,              0.0090496,              0.0090496,              0.0090496
                     50,                0.65136,                0.46463,                 2.3311,                0.93811,                0.93799,                 0.9687,                0.79428,                0.72907,                0.42562,                 3.3961,              0.0090298,              0.0090298,              0.0090298
                     51,                0.64071,                 0.4584,                 2.3194,                0.93629,                 0.9339,                0.95955,                0.80866,                0.68541,                0.44024,                 3.3736,                0.00901,                0.00901,                0.00901
                     52,                 0.6248,                0.43096,                 2.2826,                0.88144,                 0.9306,                 0.9489,                0.77982,                0.72304,                0.51002,                 3.4583,              0.0089902,              0.0089902,              0.0089902
                     53,                0.63045,                0.44025,                 2.3222,                0.95218,                0.96139,                0.97158,                0.79722,                 0.7483,                0.41129,                 3.3744,              0.0089704,              0.0089704,              0.0089704
                     54,                0.63575,                0.44727,                 2.3301,                0.95826,                0.96682,                0.97383,                0.79009,                0.74592,                0.42092,                 3.3866,              0.0089506,              0.0089506,              0.0089506
                     55,                0.62694,                0.44004,                 2.3428,                0.93581,                0.91915,                0.94042,                0.76035,                0.74935,                0.48257,                 3.4263,              0.0089308,              0.0089308,              0.0089308
                     56,                0.62557,                0.44535,                 2.2977,                0.90112,                0.97552,                0.97511,                0.79834,                0.75039,                0.42779,                 3.4063,               0.008911,               0.008911,               0.008911
                     57,                0.61692,                0.43591,                 2.3103,                0.93736,                0.92313,                0.94596,                0.77691,                0.71181,                0.46679,                 3.3263,              0.0088912,              0.0088912,              0.0088912
                     58,                0.62132,                0.43785,                 2.3109,                0.96362,                 0.9622,                0.98321,                0.79921,                0.75253,                0.39415,                 3.3226,              0.0088714,              0.0088714,              0.0088714
                     59,                0.60983,                0.43195,                 2.2764,                0.94069,                 0.9602,                0.97986,                0.81548,                0.70849,                0.41085,                 3.4416,              0.0088516,              0.0088516,              0.0088516
                     60,                0.62422,                 0.4383,                 2.3228,                0.93248,                0.94332,                0.96508,                0.78844,                0.75147,                0.44875,                 3.4255,              0.0088318,              0.0088318,              0.0088318
                     61,                0.61477,                0.43029,                 2.2821,                0.93512,                0.96884,                0.98688,                0.82747,                0.68826,                0.39227,                 3.3854,               0.008812,               0.008812,               0.008812
                     62,                0.62597,                0.43852,                 2.3553,                0.94866,                0.96109,                0.98771,                0.82005,                0.72127,                0.41283,                 3.3459,              0.0087922,              0.0087922,              0.0087922
                     63,                0.62779,                0.44326,                 2.3269,                0.94933,                0.96193,                0.97849,                0.81841,                0.68387,                0.41806,                 3.3904,              0.0087724,              0.0087724,              0.0087724
                     64,                0.61195,                0.43463,                 2.2832,                0.94571,                0.95898,                0.97828,                 0.7943,                0.74773,                0.39848,                 3.3806,              0.0087526,              0.0087526,              0.0087526
                     65,                0.60049,                0.42402,                 2.3079,                0.95824,                0.98241,                0.99033,                0.82798,                0.69894,                 0.3583,                 3.4042,              0.0087328,              0.0087328,              0.0087328
                     66,                0.59795,                0.41405,                 2.2894,                0.96392,                0.94641,                0.97529,                0.79721,                0.74673,                0.40714,                 3.3683,               0.008713,               0.008713,               0.008713
                     67,                0.60384,                0.41048,                 2.2857,                0.94312,                0.96282,                0.97535,                0.79761,                0.74511,                0.41312,                 3.3871,              0.0086932,              0.0086932,              0.0086932
                     68,                0.59952,                0.43123,                 2.3053,                 0.9359,                 0.9708,                0.97663,                0.78621,                 0.7685,                0.41838,                 3.3645,              0.0086734,              0.0086734,              0.0086734
                     69,                0.59902,                0.42601,                  2.274,                0.94362,                0.95388,                 0.9784,                0.81113,                0.70355,                0.40821,                 3.4051,              0.0086536,              0.0086536,              0.0086536
                     70,                0.60813,                0.43187,                 2.3173,                0.94178,                0.94024,                0.95778,                0.80695,                0.67297,                0.41092,                 3.3702,              0.0086338,              0.0086338,              0.0086338
                     71,                 0.6029,                0.41398,                 2.2776,                0.95705,                0.93434,                0.95601,                0.77274,                0.75311,                0.47522,                 3.4052,               0.008614,               0.008614,               0.008614
                     72,                0.58918,                0.42857,                  2.279,                0.94294,                0.97952,                0.97049,                0.80918,                0.70964,                0.38796,                 3.3371,              0.0085942,              0.0085942,              0.0085942
                     73,                0.59439,                0.40198,                 2.2936,                 0.9331,                0.97087,                0.97567,                0.80555,                0.74941,                0.39486,                 3.3519,              0.0085744,              0.0085744,              0.0085744
                     74,                0.58857,                0.41234,                 2.2825,                0.93111,                0.98387,                0.98727,                0.81793,                0.70987,                0.38451,                 3.3959,              0.0085546,              0.0085546,              0.0085546
                     75,                0.57904,                0.39555,                 2.2701,                0.93888,                0.95364,                0.95767,                0.78731,                0.73039,                0.42907,                 3.3951,              0.0085348,              0.0085348,              0.0085348
                     76,                0.59667,                0.41215,                 2.3049,                0.95185,                0.96411,                 0.9775,                0.81072,                0.70706,                0.38497,                 3.3484,               0.008515,               0.008515,               0.008515
                     77,                0.58862,                0.41019,                 2.2839,                0.89476,                0.98481,                0.96342,                0.80886,                0.70135,                0.40698,                 3.3459,              0.0084952,              0.0084952,              0.0084952
                     78,                 0.5904,                 0.4148,                 2.3052,                0.95286,                0.97857,                0.97164,                0.80314,                0.72709,                 0.3859,                 3.3812,              0.0084754,              0.0084754,              0.0084754
                     79,                0.58644,                0.39831,                 2.2749,                0.93928,                0.97643,                0.96919,                 0.8103,                0.68693,                0.37278,                 3.3579,              0.0084556,              0.0084556,              0.0084556
                     80,                0.58991,                 0.4047,                 2.2941,                0.94844,                0.93389,                0.96083,                0.78476,                0.75934,                0.41996,                 3.3817,              0.0084358,              0.0084358,              0.0084358
                     81,                 0.5769,                0.41707,                 2.2715,                 0.9453,                0.96641,                0.97554,                0.80637,                0.69971,                0.39443,                  3.425,               0.008416,               0.008416,               0.008416
                     82,                0.57639,                0.40775,                 2.2776,                0.95211,                0.93659,                0.97089,                0.78992,                  0.735,                0.40852,                 3.4072,              0.0083962,              0.0083962,              0.0083962
                     83,                0.56751,                0.39177,                 2.2351,                0.95415,                0.96782,                0.95786,                0.79261,                0.72333,                0.38649,                 3.3597,              0.0083764,              0.0083764,              0.0083764
                     84,                0.56901,                0.39197,                 2.2677,                0.96007,                0.95518,                0.96604,                0.80725,                0.69265,                0.39541,                 3.3426,              0.0083566,              0.0083566,              0.0083566
                     85,                0.56123,                0.39124,                 2.2641,                0.97255,                0.95952,                0.98925,                0.82165,                0.68238,                0.35366,                 3.3839,              0.0083368,              0.0083368,              0.0083368
                     86,                0.57054,                0.39689,                  2.256,                0.95472,                0.97306,                0.98842,                0.82881,                0.69638,                0.35891,                 3.4252,               0.008317,               0.008317,               0.008317
                     87,                0.57654,                0.40991,                 2.2593,                0.97472,                0.93911,                0.97794,                0.82285,                0.68363,                0.38575,                 3.3662,              0.0082972,              0.0082972,              0.0082972
                     88,                0.57784,                0.39653,                 2.2574,                0.92382,                0.94609,                0.97234,                0.80999,                0.70283,                0.43783,                 3.3242,              0.0082774,              0.0082774,              0.0082774
                     89,                0.56126,                0.38853,                 2.2685,                0.94812,                0.96193,                0.97586,                0.83003,                0.65128,                0.37738,                 3.3215,              0.0082576,              0.0082576,              0.0082576
                     90,                0.56773,                0.38813,                 2.2486,                0.93542,                0.97623,                0.97987,                 0.8166,                0.72042,                0.38843,                 3.3533,              0.0082378,              0.0082378,              0.0082378
                     91,                0.55973,                 0.3942,                 2.2537,                0.94272,                0.95034,                 0.9643,                0.79971,                0.69459,                0.40365,                 3.3636,               0.008218,               0.008218,               0.008218
                     92,                0.55657,                0.39391,                  2.254,                0.95394,                0.95648,                0.98595,                0.80937,                0.73595,                0.38406,                 3.3063,              0.0081982,              0.0081982,              0.0081982
                     93,                0.55684,                0.38403,                 2.2588,                0.97052,                0.93631,                0.96697,                 0.8113,                0.68189,                0.38995,                 3.3789,              0.0081784,              0.0081784,              0.0081784
                     94,                0.56612,                0.39086,                 2.2483,                0.95685,                0.97864,                0.98798,                0.82642,                0.70853,                 0.3608,                 3.3428,              0.0081586,              0.0081586,              0.0081586
                     95,                 0.5634,                0.38597,                 2.2536,                0.96012,                0.95112,                0.96211,                0.81107,                0.66538,                0.36521,                 3.3308,              0.0081388,              0.0081388,              0.0081388
                     96,                0.57958,                0.41078,                 2.3108,                 0.9526,                0.95903,                 0.9729,                0.81004,                0.71176,                 0.3789,                 3.3321,               0.008119,               0.008119,               0.008119
                     97,                0.56168,                0.38961,                 2.2741,                0.97777,                 0.9697,                0.98889,                0.81961,                0.71091,                0.35109,                 3.3956,              0.0080992,              0.0080992,              0.0080992
                     98,                0.54969,                0.38495,                 2.2397,                0.96125,                 0.9624,                0.99127,                 0.8225,                0.72124,                0.35452,                 3.3564,              0.0080794,              0.0080794,              0.0080794
                     99,                0.54983,                0.37684,                 2.2316,                0.95715,                0.95057,                0.95799,                0.79796,                0.71155,                0.43075,                 3.3598,              0.0080596,              0.0080596,              0.0080596
                    100,                0.55623,                0.38142,                 2.2418,                0.94294,                0.96139,                0.96422,                0.79527,                0.69919,                0.38738,                 3.3757,              0.0080398,              0.0080398,              0.0080398
                    101,                0.55664,                0.37242,                 2.2558,                0.96678,                0.95243,                  0.978,                0.81327,                0.69823,                0.38097,                 3.3331,                0.00802,                0.00802,                0.00802
                    102,                0.54754,                0.37485,                 2.2322,                0.93675,                0.98989,                0.97965,                0.81134,                0.70348,                0.34629,                 3.3152,              0.0080002,              0.0080002,              0.0080002
                    103,                0.55975,                0.37464,                 2.2285,                0.97965,                0.97075,                0.98619,                0.82714,                0.68247,                0.33226,                 3.3655,              0.0079804,              0.0079804,              0.0079804
                    104,                 0.5466,                 0.3761,                 2.2543,                0.96186,                0.95735,                0.96861,                0.79904,                 0.7199,                0.38258,                 3.3729,              0.0079606,              0.0079606,              0.0079606
                    105,                0.55002,                0.37664,                 2.2715,                0.94132,                0.97724,                0.97174,                0.80594,                0.71306,                0.37692,                 3.3701,              0.0079408,              0.0079408,              0.0079408
                    106,                0.56006,                 0.3932,                 2.2712,                0.96037,                0.96105,                0.97253,                0.81876,                0.68965,                0.38221,                 3.3811,               0.007921,               0.007921,               0.007921
                    107,                0.54587,                0.37612,                 2.2395,                0.96014,                0.97196,                0.97163,                0.80956,                0.68587,                 0.3473,                 3.3568,              0.0079012,              0.0079012,              0.0079012
