                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6685,                 2.2182,                 2.3237,                0.53815,                0.28261,                 0.4995,                0.32519,                 1.3407,                 2.6048,                 2.1429,             0.00054556,             0.00054556,             0.00054556
                      2,                 1.0621,                 1.0618,                 1.8735,                0.51982,                0.68441,                0.55352,                0.42582,                0.81778,                  1.984,                 2.0859,               0.001099,               0.001099,               0.001099
                      3,                0.98799,                0.96829,                 1.8512,                0.49402,                0.75523,                0.52513,                0.40054,                0.87883,                 1.0498,                 2.1351,              0.0016503,              0.0016503,              0.0016503
                      4,                 0.9615,                0.88176,                 1.8465,                0.50013,                0.71177,                0.54842,                0.35361,                 1.0692,                0.95388,                 2.2893,              0.0016571,              0.0016571,              0.0016571
                      5,                0.92533,                0.80332,                 1.8384,                0.55375,                0.81827,                0.58221,                0.45683,                0.79372,                0.99137,                   1.98,              0.0016538,              0.0016538,              0.0016538
                      6,                0.88969,                0.77791,                  1.797,                0.46447,                0.56522,                0.52486,                0.38849,                0.88241,                0.84315,                  2.037,              0.0016505,              0.0016505,              0.0016505
                      7,                0.90295,                0.75901,                 1.8519,                0.49696,                0.88697,                0.52787,                0.41338,                0.76914,                 1.7164,                 1.9897,              0.0016472,              0.0016472,              0.0016472
                      8,                0.84468,                0.71573,                 1.8155,                0.51209,                0.81064,                0.53776,                0.45505,                0.63163,                0.77899,                  1.915,              0.0016439,              0.0016439,              0.0016439
                      9,                0.82942,                0.68892,                  1.787,                0.56301,                0.57303,                0.56349,                0.45304,                0.77126,                 0.6996,                 2.0061,              0.0016406,              0.0016406,              0.0016406
                     10,                0.82432,                0.65869,                 1.8412,                 0.5594,                0.65804,                0.57434,                0.40505,                0.96421,                 0.8617,                 2.1768,              0.0016373,              0.0016373,              0.0016373
                     11,                0.81025,                0.62527,                 1.8041,                0.53518,                0.76288,                0.55501,                0.45315,                0.68912,                0.77096,                 1.9791,               0.001634,               0.001634,               0.001634
                     12,                0.78499,                0.60223,                 1.8229,                0.53277,                0.65706,                0.55266,                0.46385,                0.67324,                0.70365,                 1.9678,              0.0016307,              0.0016307,              0.0016307
                     13,                0.78882,                0.59627,                 1.8016,                0.61857,                0.59085,                0.58333,                0.48226,                0.72051,                0.60163,                 1.9271,              0.0016274,              0.0016274,              0.0016274
                     14,                0.78985,                 0.6075,                 1.7783,                0.87511,                0.53973,                0.56847,                0.46084,                0.71711,                0.66837,                 1.9754,              0.0016241,              0.0016241,              0.0016241
                     15,                0.79042,                0.58083,                 1.7701,                0.54927,                0.70516,                0.54108,                0.46068,                0.64886,                0.70038,                  1.946,              0.0016208,              0.0016208,              0.0016208
                     16,                0.76912,                0.54621,                 1.7928,                0.59736,                0.74634,                0.57718,                0.48272,                0.67585,                0.64832,                 1.9634,              0.0016175,              0.0016175,              0.0016175
                     17,                0.76567,                0.54705,                 1.7729,                0.50889,                 0.9025,                0.58673,                0.48005,                0.77512,                0.86257,                 1.8986,              0.0016142,              0.0016142,              0.0016142
                     18,                 0.7559,                0.56094,                 1.7603,                0.53719,                0.62856,                0.54902,                0.43605,                0.77151,                0.58457,                 1.9956,              0.0016109,              0.0016109,              0.0016109
                     19,                0.74737,                0.55723,                  1.774,                0.52957,                0.71171,                0.55858,                0.47307,                0.67041,                0.65278,                 1.9355,              0.0016076,              0.0016076,              0.0016076
                     20,                0.74706,                0.52984,                 1.7817,                0.58942,                0.54348,                0.53771,                0.43824,                0.76339,                0.63381,                 2.0055,              0.0016043,              0.0016043,              0.0016043
                     21,                0.74289,                0.53342,                 1.7673,                0.56226,                0.69378,                0.57057,                0.46022,                0.78948,                0.63663,                 2.0213,               0.001601,               0.001601,               0.001601
                     22,                0.72429,                0.50283,                 1.7513,                0.51225,                0.84358,                0.51925,                0.44606,                0.60535,                0.57542,                 1.8471,              0.0015977,              0.0015977,              0.0015977
                     23,                0.72282,                0.52451,                 1.7247,                0.66404,                0.53839,                0.54589,                0.44422,                0.79033,                 0.6287,                 2.0091,              0.0015944,              0.0015944,              0.0015944
                     24,                0.73736,                0.51424,                 1.7828,                0.53571,                0.62669,                0.55403,                0.43601,                0.80444,                0.61853,                 2.0756,              0.0015911,              0.0015911,              0.0015911
                     25,                0.74516,                0.50344,                 1.7625,                0.57367,                0.62355,                0.59354,                 0.4843,                0.82911,                0.61148,                 2.0623,              0.0015878,              0.0015878,              0.0015878
                     26,                0.74571,                0.51474,                 1.7838,                0.65326,                0.59428,                0.60715,                0.48834,                0.80042,                0.64204,                 1.9544,              0.0015845,              0.0015845,              0.0015845
                     27,                0.71579,                0.52007,                 1.7615,                0.55686,                0.56522,                0.57191,                0.46497,                0.74481,                0.63232,                 1.9518,              0.0015812,              0.0015812,              0.0015812
                     28,                0.71952,                0.50451,                 1.7513,                 0.5662,                0.71631,                0.56501,                0.44061,                0.89136,                0.60339,                  2.111,              0.0015779,              0.0015779,              0.0015779
                     29,                0.71217,                0.49156,                  1.735,                0.55736,                0.71206,                0.57559,                  0.469,                0.70733,                0.73646,                 2.0109,              0.0015746,              0.0015746,              0.0015746
                     30,                 0.7299,                0.51029,                 1.8106,                0.59637,                 0.6546,                0.60912,                0.51901,                0.64248,                0.71976,                 1.9011,              0.0015713,              0.0015713,              0.0015713
                     31,                 0.7095,                0.51574,                 1.7765,                0.59474,                0.84773,                0.61875,                0.50875,                0.72864,                0.62691,                 2.0275,               0.001568,               0.001568,               0.001568
                     32,                0.71359,                0.49955,                 1.7572,                0.59922,                0.67204,                0.59269,                0.47986,                0.79493,                0.59389,                  2.081,              0.0015647,              0.0015647,              0.0015647
